Gstin,Status,KycScore,SharedContact,Sector
27AAAAA1558A1Z119,Active,32,9876543210,General
27AAAAA7883A1Z120,Active,16,9876543210,General
27AAAAA5713A1Z121,Cancelled,31,9876543210,General
27AAAAA9685A1Z122,Active,31,9876543210,General
27AAAAA6273A1Z123,Active,24,9876543210,General
27AAAAA8541A1Z124,Cancelled,24,9876543210,General
27AAAAA5530A1Z125,Active,36,9876543210,General
27AAAAA7062A1Z126,Active,16,9876543210,General
27AAAAA6444A1Z127,Active,36,9876543210,General
27AAAAA6796A1Z128,Active,33,9876543210,General
27AAAAA8060A1Z129,Active,12,9876543210,General
27AAAAA2817A1Z130,Active,13,9876543210,General
27AAAAA2431A1Z131,Active,21,9876543210,General
27AAAAA5211A1Z132,Active,32,9876543210,General
27AAAAA8124A1Z133,Cancelled,33,9876543210,General
27AAAAA7259A1Z134,Cancelled,10,9876543210,General
27AAAAA3185A1Z135,Active,37,9876543210,General
27AAAAA2839A1Z136,Active,15,9876543210,General
27AAAAA3913A1Z137,Active,13,9876543210,General
27AAAAA1341A1Z138,Active,16,9876543210,General
27AAAAA6401A1Z139,Active,17,9876543210,General
27AAAAA4587A1Z140,Active,39,9876543210,General
27AAAAA2341A1Z141,Cancelled,29,9876543210,General
27AAAAA7242A1Z142,Active,38,9876543210,General
27AAAAA6713A1Z143,Active,33,9876543210,General
27AAAAA9686A1Z144,Active,37,9876543210,General
27AAAAA3226A1Z145,Active,16,9876543210,General
27AAAAA7652A1Z146,Active,30,9876543210,General
27AAAAA2211A1Z147,Cancelled,29,9876543210,General
27AAAAA8431A1Z148,Active,23,9876543210,General
27AAAAA9256A1Z149,Cancelled,14,9876543210,General
27AAAAA8511A1Z150,Active,13,9876543210,General
27AAAAA7321A1Z151,Cancelled,34,9876543210,General
27AAAAA9200A1Z152,Active,14,9876543210,General
27AAAAA1567A1Z153,Active,11,9876543210,General
27AAAAA1376A1Z154,Active,11,9876543210,General
27AAAAA4542A1Z155,Cancelled,25,9876543210,General
27AAAAA2120A1Z156,Active,15,9876543210,General
27AAAAA5907A1Z157,Active,33,9876543210,General
27AAAAA8383A1Z158,Active,17,9876543210,General
27AAAAA3752A1Z159,Active,16,9876543210,General
27AAAAA7215A1Z160,Cancelled,17,9876543210,General
27AAAAA3943A1Z161,Active,15,9876543210,General
27AAAAA5330A1Z162,Cancelled,11,9876543210,General
27AAAAA5538A1Z163,Active,25,9876543210,General
27AAAAA6162A1Z164,Active,35,9876543210,General
27AAAAA3205A1Z165,Active,37,9876543210,General
27AAAAA3315A1Z166,Active,19,9876543210,General
27AAAAA5933A1Z167,Active,15,9876543210,General
27AAAAA9962A1Z168,Active,15,9876543210,General
27AAAAA9900A1Z169,Active,23,9876543210,General
27AAAAA8316A1Z170,Active,21,9876543210,General
27AAAAA3356A1Z171,Active,32,9876543210,General
27AAAAA8540A1Z172,Active,14,9876543210,General
27AAAAA3430A1Z173,Active,21,9876543210,General
27AAAAA1905A1Z174,Active,31,9876543210,General
27AAAAA6082A1Z175,Active,15,9876543210,General
27AAAAA5546A1Z176,Active,34,9876543210,General
27AAAAA3767A1Z177,Active,18,9876543210,General
27AAAAA4310A1Z178,Active,28,9876543210,General
27AAAAA1913A1Z179,Cancelled,38,9876543210,General
27AAAAA1863A1Z180,Active,12,9876543210,General
27AAAAA7706A1Z181,Active,20,9876543210,General
27AAAAA7807A1Z182,Cancelled,37,9876543210,General
27AAAAA4189A1Z183,Active,34,9876543210,General
27AAAAA8189A1Z184,Active,39,9876543210,General
27AAAAA3027A1Z185,Active,19,9876543210,General
27AAAAA6083A1Z186,Active,10,9876543210,General
27AAAAA3290A1Z187,Active,33,9876543210,General
27AAAAA6679A1Z188,Cancelled,21,9876543210,General
27AAAAA2716A1Z189,Active,33,9876543210,General
27AAAAA3307A1Z190,Active,18,9876543210,General
27AAAAA4118A1Z191,Active,39,9876543210,General
27AAAAA2337A1Z192,Active,30,9876543210,General
27AAAAA7979A1Z193,Active,40,9876543210,General
27AAAAA7594A1Z194,Active,19,9876543210,General
27AAAAA1231A1Z195,Cancelled,14,9876543210,General
27AAAAA3397A1Z196,Active,16,9876543210,General
27AAAAA9467A1Z197,Active,25,9876543210,General
27AAAAA5225A1Z198,Cancelled,24,9876543210,General
27AAAAA6628A1Z199,Active,34,9876543210,General
27AAAAA5691A1Z200,Active,10,9876543210,General
27AAAAA5194A1Z201,Active,35,9876543210,General
27AAAAA5522A1Z202,Active,22,9876543210,General
27AAAAA8371A1Z203,Active,14,9876543210,General
27AAAAA4080A1Z204,Cancelled,40,9876543210,General
27AAAAA5825A1Z205,Active,28,9876543210,General
27AAAAA9844A1Z206,Active,26,9876543210,General
27AAAAA8619A1Z207,Active,13,9876543210,General
27AAAAA7339A1Z208,Active,35,9876543210,General
27AAAAA2353A1Z209,Cancelled,33,9876543210,General
27AAAAA1681A1Z210,Active,33,9876543210,General
27AAAAA5120A1Z211,Active,14,9876543210,General
27AAAAA3837A1Z212,Active,40,9876543210,General
27AAAAA5066A1Z213,Active,40,9876543210,General
27AAAAA9627A1Z214,Active,26,9876543210,General
27AAAAA2217A1Z215,Active,11,9876543210,General
27AAAAA7635A1Z216,Active,31,9876543210,General
27AAAAA3498A1Z217,Active,31,9876543210,General
27AAAAA7468A1Z218,Active,26,9876543210,General
27AAAAA3454A1Z219,Active,30,9876543210,General
27AAAAA8606A1Z220,Active,27,9876543210,General
27AAAAA4768A1Z221,Active,31,9876543210,General
27AAAAA3784A1Z222,Active,33,9876543210,General
27AAAAA2822A1Z223,Active,31,9876543210,General
27AAAAA1331A1Z224,Active,20,9876543210,General
27AAAAA2443A1Z225,Active,38,9876543210,General
27AAAAA2252A1Z226,Cancelled,27,9876543210,General
27AAAAA6452A1Z227,Active,12,9876543210,General
27AAAAA1035A1Z228,Cancelled,13,9876543210,General
27AAAAA8131A1Z229,Active,22,9876543210,General
27AAAAA8477A1Z230,Active,17,9876543210,General
27AAAAA6581A1Z231,Active,31,9876543210,General
27AAAAA8898A1Z232,Active,37,9876543210,General
27AAAAA1942A1Z233,Cancelled,33,9876543210,General
27AAAAA1594A1Z234,Active,39,9876543210,General
27AAAAA6597A1Z235,Active,37,9876543210,General
27AAAAA5079A1Z236,Active,33,9876543210,General
27AAAAA7097A1Z237,Active,40,9876543210,General
27AAAAA8812A1Z238,Active,23,9876543210,General
27AAAAA2781A1Z239,Active,30,9876543210,General
27AAAAA3829A1Z240,Active,34,9876543210,General
27AAAAA7531A1Z241,Active,12,9876543210,General
27AAAAA9377A1Z242,Cancelled,30,9876543210,General
27AAAAA2617A1Z243,Active,15,9876543210,General
27AAAAA1462A1Z244,Active,31,9876543210,General
27AAAAA1512A1Z245,Active,23,9876543210,General
27AAAAA3189A1Z246,Active,13,9876543210,General
27AAAAA9304A1Z247,Active,35,9876543210,General
27AAAAA2220A1Z248,Active,16,9876543210,General
27AAAAA3128A1Z249,Active,29,9876543210,General
27AAAAA5241A1Z250,Active,19,9876543210,General
27AAAAA3092A1Z251,Cancelled,30,9876543210,General
27AAAAA7338A1Z252,Active,12,9876543210,General
27AAAAA2308A1Z253,Active,28,9876543210,General
27AAAAA1652A1Z254,Active,28,9876543210,General
27AAAAA6199A1Z255,Active,18,9876543210,General
27AAAAA8478A1Z256,Active,13,9876543210,General
27AAAAA7346A1Z257,Cancelled,19,9876543210,General
27AAAAA8083A1Z258,Active,22,9876543210,General
27AAAAA5228A1Z259,Cancelled,22,9876543210,General
27AAAAA7399A1Z260,Active,32,9876543210,General
27AAAAA1036A1Z261,Active,11,9876543210,General
27AAAAA4307A1Z262,Active,36,9876543210,General
27AAAAA6070A1Z263,Active,25,9876543210,General
27AAAAA6467A1Z264,Cancelled,37,9876543210,General
27AAAAA9672A1Z265,Active,18,9876543210,General
27AAAAA2408A1Z266,Active,18,9876543210,General
27AAAAA5545A1Z267,Active,22,9876543210,General
27AAAAA3710A1Z268,Active,12,9876543210,General
27AAAAA2507A1Z269,Active,19,9876543210,General
27AAAAA7627A1Z270,Active,37,9876543210,General
27AAAAA3102A1Z271,Active,23,9876543210,General
27AAAAA5800A1Z272,Active,22,9876543210,General
27AAAAA3196A1Z273,Active,31,9876543210,General
27AAAAA5035A1Z274,Cancelled,24,9876543210,General
27AAAAA7468A1Z275,Active,15,9876543210,General
27AAAAA9468A1Z276,Cancelled,32,9876543210,General
27AAAAA1910A1Z277,Cancelled,11,9876543210,General
27AAAAA6289A1Z278,Active,36,9876543210,General
27AAAAA8802A1Z279,Active,23,9876543210,General
27AAAAA2602A1Z280,Cancelled,28,9876543210,General
27AAAAA8413A1Z281,Active,19,9876543210,General
27AAAAA4042A1Z282,Active,35,9876543210,General
27AAAAA3500A1Z283,Cancelled,25,9876543210,General
27AAAAA1976A1Z284,Active,26,9876543210,General
27AAAAA5083A1Z285,Active,29,9876543210,General
27AAAAA8315A1Z286,Active,36,9876543210,General
27AAAAA5263A1Z287,Cancelled,27,9876543210,General
27AAAAA8948A1Z288,Active,28,9876543210,General
27AAAAA2736A1Z289,Active,23,9876543210,General
27AAAAA1537A1Z290,Active,24,9876543210,General
27AAAAA6092A1Z291,Active,24,9876543210,General
27AAAAA5604A1Z292,Active,32,9876543210,General
27AAAAA7984A1Z293,Active,10,9876543210,General
27AAAAA5770A1Z294,Active,25,9876543210,General
27AAAAA6741A1Z295,Cancelled,37,9876543210,General
27AAAAA3693A1Z296,Active,28,9876543210,General
27AAAAA9462A1Z297,Active,17,9876543210,General
27AAAAA9920A1Z298,Active,13,9876543210,General
27AAAAA2441A1Z299,Active,26,9876543210,General
07BBBBB5781B1Z0,Cancelled,39,9826374019,Metal/Steel
07BBBBB9052B1Z1,Active,18,9430640870,Metal/Steel
07BBBBB1714B1Z2,Cancelled,25,9821133898,Metal/Steel
07BBBBB2745B1Z3,Active,37,9108869435,Metal/Steel
07BBBBB3655B1Z4,Active,18,9712806846,Metal/Steel
07BBBBB6698B1Z5,Cancelled,25,9921631790,Metal/Steel
07BBBBB7489B1Z6,Cancelled,35,9129851038,Metal/Steel
07BBBBB9539B1Z7,Active,14,9427575377,Metal/Steel
07BBBBB5614B1Z8,Active,24,9722198430,Metal/Steel
07BBBBB1613B1Z9,Active,34,9247553525,Metal/Steel
07BBBBB6140B1Z10,Cancelled,31,9919703787,Metal/Steel
07BBBBB9639B1Z11,Active,17,9596454995,Metal/Steel
07BBBBB7426B1Z12,Active,27,9792663020,Metal/Steel
07BBBBB7903B1Z13,Active,33,9657894357,Metal/Steel
07BBBBB7998B1Z14,Active,30,9864872547,Metal/Steel
07BBBBB1928B1Z15,Cancelled,25,9795375339,Metal/Steel
07BBBBB6440B1Z16,Cancelled,14,9936869675,Metal/Steel
07BBBBB8076B1Z17,Active,21,9270488248,Metal/Steel
07BBBBB2026B1Z18,Active,38,9962652775,Metal/Steel
07BBBBB8723B1Z19,Active,12,9155767558,Metal/Steel
07BBBBB9925B1Z20,Active,17,9471096117,Metal/Steel
07BBBBB3508B1Z21,Active,20,9376517135,Metal/Steel
07BBBBB6621B1Z22,Active,34,9787730624,Metal/Steel
07BBBBB4212B1Z23,Active,16,9185042581,Metal/Steel
07BBBBB6370B1Z24,Active,31,9674457470,Metal/Steel
07BBBBB5454B1Z25,Active,17,9771891953,Metal/Steel
07BBBBB7724B1Z26,Active,32,9341703094,Metal/Steel
07BBBBB2478B1Z27,Active,19,9945054515,Metal/Steel
07BBBBB6394B1Z28,Active,34,9623713737,Metal/Steel
07BBBBB2041B1Z29,Active,16,9163836823,Metal/Steel
07BBBBB9997B1Z30,Cancelled,27,9889232152,Metal/Steel
07BBBBB8616B1Z31,Active,26,9537352454,Metal/Steel
07BBBBB9470B1Z32,Active,27,9529049729,Metal/Steel
07BBBBB6804B1Z33,Active,34,9814211095,Metal/Steel
07BBBBB7126B1Z34,Active,37,9112183290,Metal/Steel
07BBBBB7001B1Z35,Cancelled,30,9669608174,Metal/Steel
07BBBBB1986B1Z36,Active,37,9512802725,Metal/Steel
07BBBBB9602B1Z37,Active,35,9910100840,Metal/Steel
07BBBBB8028B1Z38,Active,22,9705067703,Metal/Steel
07BBBBB5882B1Z39,Active,14,9919441520,Metal/Steel
07BBBBB6347B1Z40,Active,17,9198799168,Metal/Steel
07BBBBB3169B1Z41,Active,36,9666333761,Metal/Steel
07BBBBB4538B1Z42,Active,13,9388354916,Metal/Steel
07BBBBB2405B1Z43,Active,36,9649444037,Metal/Steel
07BBBBB8411B1Z44,Active,11,9446138055,Metal/Steel
07BBBBB5776B1Z45,Active,40,9641500813,Metal/Steel
07BBBBB2306B1Z46,Active,14,9153340950,Metal/Steel
07BBBBB6207B1Z47,Cancelled,25,9494199942,Metal/Steel
07BBBBB2286B1Z48,Active,17,9861999865,Metal/Steel
07BBBBB4526B1Z49,Cancelled,29,9927277451,Metal/Steel
07BBBBB2452B1Z50,Active,11,9335259054,Metal/Steel
07BBBBB6263B1Z51,Active,16,9615946854,Metal/Steel
07BBBBB5752B1Z52,Active,17,9158131976,Metal/Steel
07BBBBB9645B1Z53,Active,29,9924542228,Metal/Steel
07BBBBB5830B1Z54,Cancelled,37,9684362585,Metal/Steel
07BBBBB1287B1Z55,Cancelled,19,9925262656,Metal/Steel
07BBBBB6347B1Z56,Active,12,9175316458,Metal/Steel
07BBBBB9003B1Z57,Cancelled,23,9855262662,Metal/Steel
07BBBBB6769B1Z58,Active,29,9858344191,Metal/Steel
07BBBBB5201B1Z59,Active,23,9731296925,Metal/Steel
07BBBBB5743B1Z60,Cancelled,14,9278940982,Metal/Steel
07BBBBB1992B1Z61,Active,11,9489681839,Metal/Steel
07BBBBB7702B1Z62,Active,22,9532672136,Metal/Steel
07BBBBB3114B1Z63,Cancelled,19,9657869543,Metal/Steel
07BBBBB4153B1Z64,Cancelled,17,9228743401,Metal/Steel
07BBBBB3499B1Z65,Active,35,9490706138,Metal/Steel
07BBBBB4090B1Z66,Active,24,9533724883,Metal/Steel
07BBBBB8040B1Z67,Active,10,9981343976,Metal/Steel
07BBBBB8801B1Z68,Active,25,9563416080,Metal/Steel
07BBBBB2647B1Z69,Active,12,9502695894,Metal/Steel
07BBBBB9848B1Z70,Cancelled,17,9998896017,Metal/Steel
07BBBBB6074B1Z71,Active,14,9577188621,Metal/Steel
07BBBBB3104B1Z72,Active,21,9326616835,Metal/Steel
07BBBBB5554B1Z73,Active,38,9126662993,Metal/Steel
07BBBBB4410B1Z74,Active,40,9972076907,Metal/Steel
07BBBBB6850B1Z75,Cancelled,26,9531896609,Metal/Steel
07BBBBB7380B1Z76,Active,30,9587531394,Metal/Steel
07BBBBB2519B1Z77,Cancelled,12,9196568524,Metal/Steel
07BBBBB4060B1Z78,Cancelled,10,9469443856,Metal/Steel
07BBBBB6409B1Z79,Active,28,9246490058,Metal/Steel
07BBBBB5278B1Z80,Cancelled,34,9373931140,Metal/Steel
07BBBBB8182B1Z81,Active,31,9706589728,Metal/Steel
07BBBBB4868B1Z82,Active,28,9684883723,Metal/Steel
07BBBBB3075B1Z83,Active,10,9944294788,Metal/Steel
07BBBBB6316B1Z84,Active,10,9333884625,Metal/Steel
07BBBBB2266B1Z85,Active,30,9169656153,Metal/Steel
07BBBBB2379B1Z86,Active,30,9575981756,Metal/Steel
07BBBBB4908B1Z87,Cancelled,12,9343741927,Metal/Steel
07BBBBB2579B1Z88,Active,13,9235890718,Metal/Steel
07BBBBB1746B1Z89,Cancelled,25,9570974077,Metal/Steel
07BBBBB6666B1Z90,Cancelled,24,9609294730,Metal/Steel
07BBBBB9388B1Z91,Active,30,9338053705,Metal/Steel
07BBBBB4504B1Z92,Active,31,9286028222,Metal/Steel
07BBBBB3552B1Z93,Active,16,9317379787,Metal/Steel
07BBBBB6023B1Z94,Active,21,9319844031,Metal/Steel
07BBBBB4208B1Z95,Cancelled,32,9981262239,Metal/Steel
07BBBBB7770B1Z96,Active,32,9343111278,Metal/Steel
07BBBBB5161B1Z97,Active,22,9711412455,Metal/Steel
07BBBBB4232B1Z98,Active,32,9872337333,Metal/Steel
07BBBBB8528B1Z99,Cancelled,23,9135868275,Metal/Steel
07BBBBB6069B1Z100,Active,23,9823489724,Metal/Steel
07BBBBB5244B1Z101,Cancelled,10,9689507411,Metal/Steel
07BBBBB1799B1Z102,Active,24,9599641996,Metal/Steel
07BBBBB2076B1Z103,Active,30,9684364510,Metal/Steel
07BBBBB6252B1Z104,Active,32,9628776046,Metal/Steel
07BBBBB6701B1Z105,Active,14,9339517816,Metal/Steel
07BBBBB7489B1Z106,Active,35,9608363108,Metal/Steel
07BBBBB4149B1Z107,Cancelled,40,9201613478,Metal/Steel
07BBBBB1903B1Z108,Active,33,9922346788,Metal/Steel
07BBBBB4058B1Z109,Active,20,9431994284,Metal/Steel
07BBBBB7166B1Z110,Active,35,9687028223,Metal/Steel
07BBBBB1498B1Z111,Active,25,9310167105,Metal/Steel
07BBBBB4624B1Z112,Active,39,9605335838,Metal/Steel
07BBBBB7867B1Z113,Active,24,9465230894,Metal/Steel
07BBBBB6647B1Z114,Active,27,9967183044,Metal/Steel
07BBBBB3598B1Z115,Active,22,9469733167,Metal/Steel
07BBBBB6373B1Z116,Active,30,9355726959,Metal/Steel
07BBBBB3221B1Z117,Active,30,9745188252,Metal/Steel
07BBBBB1786B1Z118,Active,22,9619783348,Metal/Steel
07BBBBB7773B1Z119,Active,10,9650374662,Metal/Steel
07BBBBB1439B1Z120,Active,29,9454422068,Metal/Steel
07BBBBB5363B1Z121,Active,20,9323863722,Metal/Steel
07BBBBB3894B1Z122,Active,32,9224685753,Metal/Steel
07BBBBB2422B1Z123,Active,18,9429613755,Metal/Steel
07BBBBB7555B1Z124,Active,31,9908841541,Metal/Steel
07BBBBB3144B1Z125,Active,37,9544008031,Metal/Steel
07BBBBB3717B1Z126,Cancelled,36,9817330851,Metal/Steel
07BBBBB3260B1Z127,Active,23,9459548616,Metal/Steel
07BBBBB6434B1Z128,Active,20,9733891822,Metal/Steel
07BBBBB8904B1Z129,Active,39,9120606927,Metal/Steel
07BBBBB6509B1Z130,Active,16,9304105641,Metal/Steel
07BBBBB5368B1Z131,Cancelled,31,9176799494,Metal/Steel
07BBBBB3850B1Z132,Active,21,9948265198,Metal/Steel
07BBBBB8879B1Z133,Cancelled,27,9336087376,Metal/Steel
07BBBBB9068B1Z134,Active,19,9320463781,Metal/Steel
07BBBBB3283B1Z135,Cancelled,19,9840803560,Metal/Steel
07BBBBB4188B1Z136,Active,21,9815022934,Metal/Steel
07BBBBB5227B1Z137,Active,15,9793995490,Metal/Steel
07BBBBB1737B1Z138,Cancelled,22,9345789930,Metal/Steel
07BBBBB1842B1Z139,Active,25,9412713765,Metal/Steel
07BBBBB7629B1Z140,Active,34,9561544581,Metal/Steel
07BBBBB5554B1Z141,Active,31,9778261712,Metal/Steel
07BBBBB4393B1Z142,Active,37,9197950506,Metal/Steel
07BBBBB4396B1Z143,Active,26,9262320014,Metal/Steel
07BBBBB3816B1Z144,Active,22,9708084046,Metal/Steel
07BBBBB5942B1Z145,Active,26,9374223295,Metal/Steel
07BBBBB7210B1Z146,Active,24,9445381592,Metal/Steel
07BBBBB1299B1Z147,Active,30,9414055820,Metal/Steel
07BBBBB4773B1Z148,Active,40,9917528227,Metal/Steel
07BBBBB6062B1Z149,Active,21,9275184338,Metal/Steel
07BBBBB9349B1Z150,Active,32,9583340141,Metal/Steel
07BBBBB2309B1Z151,Cancelled,10,9370308215,Metal/Steel
07BBBBB2635B1Z152,Active,37,9557293457,Metal/Steel
07BBBBB9555B1Z153,Active,19,9400575950,Metal/Steel
07BBBBB6168B1Z154,Active,17,9588580738,Metal/Steel
07BBBBB2705B1Z155,Active,24,9856228777,Metal/Steel
07BBBBB2080B1Z156,Active,36,9731027926,Metal/Steel
07BBBBB1161B1Z157,Active,20,9296852997,Metal/Steel
07BBBBB8185B1Z158,Active,12,9709598253,Metal/Steel
07BBBBB7864B1Z159,Active,14,9799694655,Metal/Steel
07BBBBB6618B1Z160,Active,20,9402899905,Metal/Steel
07BBBBB1510B1Z161,Active,33,9553760686,Metal/Steel
07BBBBB7317B1Z162,Active,11,9809769535,Metal/Steel
07BBBBB8508B1Z163,Cancelled,13,9369285655,Metal/Steel
07BBBBB5879B1Z164,Cancelled,32,9404255243,Metal/Steel
07BBBBB7506B1Z165,Active,33,9637378054,Metal/Steel
07BBBBB4825B1Z166,Active,18,9903804269,Metal/Steel
07BBBBB5035B1Z167,Active,40,9616900375,Metal/Steel
07BBBBB5659B1Z168,Active,38,9722890107,Metal/Steel
07BBBBB8324B1Z169,Active,19,9700473685,Metal/Steel
07BBBBB5309B1Z170,Active,35,9313347093,Metal/Steel
07BBBBB4655B1Z171,Active,13,9736535889,Metal/Steel
07BBBBB5227B1Z172,Cancelled,23,9269490969,Metal/Steel
07BBBBB8045B1Z173,Cancelled,39,9214302110,Metal/Steel
07BBBBB6098B1Z174,Active,19,9339261809,Metal/Steel
07BBBBB8468B1Z175,Cancelled,35,9414836975,Metal/Steel
07BBBBB7758B1Z176,Active,20,9337653855,Metal/Steel
07BBBBB9419B1Z177,Active,11,9549569392,Metal/Steel
07BBBBB3332B1Z178,Cancelled,16,9443045632,Metal/Steel
07BBBBB6594B1Z179,Active,36,9446310688,Metal/Steel
07BBBBB6470B1Z180,Active,23,9620761111,Metal/Steel
07BBBBB2732B1Z181,Cancelled,31,9343276573,Metal/Steel
07BBBBB4391B1Z182,Active,39,9235868217,Metal/Steel
