Gstin,Month,DelayDays
27AAAAA3971A1Z23,2023-05,37
27AAAAA3971A1Z23,2023-06,13
27AAAAA5726A1Z24,2023-01,14
27AAAAA5726A1Z24,2023-02,38
27AAAAA5726A1Z24,2023-03,22
27AAAAA5726A1Z24,2023-04,37
27AAAAA5726A1Z24,2023-05,38
27AAAAA5726A1Z24,2023-06,12
27AAAAA7649A1Z25,2023-01,26
27AAAAA7649A1Z25,2023-02,23
27AAAAA7649A1Z25,2023-03,17
27AAAAA7649A1Z25,2023-04,39
27AAAAA7649A1Z25,2023-05,40
27AAAAA7649A1Z25,2023-06,25
27AAAAA7634A1Z26,2023-01,38
27AAAAA7634A1Z26,2023-02,38
27AAAAA7634A1Z26,2023-03,34
27AAAAA7634A1Z26,2023-04,11
27AAAAA7634A1Z26,2023-05,16
27AAAAA7634A1Z26,2023-06,32
27AAAAA4075A1Z27,2023-01,13
27AAAAA4075A1Z27,2023-02,18
27AAAAA4075A1Z27,2023-03,11
27AAAAA4075A1Z27,2023-04,34
27AAAAA4075A1Z27,2023-05,22
27AAAAA4075A1Z27,2023-06,10
27AAAAA9799A1Z28,2023-01,20
27AAAAA9799A1Z28,2023-02,37
27AAAAA9799A1Z28,2023-03,13
27AAAAA9799A1Z28,2023-04,15
27AAAAA9799A1Z28,2023-05,40
27AAAAA9799A1Z28,2023-06,34
27AAAAA2726A1Z29,2023-01,29
27AAAAA2726A1Z29,2023-02,18
27AAAAA2726A1Z29,2023-03,19
27AAAAA2726A1Z29,2023-04,18
27AAAAA2726A1Z29,2023-05,33
27AAAAA2726A1Z29,2023-06,17
27AAAAA9800A1Z30,2023-01,19
27AAAAA9800A1Z30,2023-02,21
27AAAAA9800A1Z30,2023-03,33
27AAAAA9800A1Z30,2023-04,36
27AAAAA9800A1Z30,2023-05,20
27AAAAA9800A1Z30,2023-06,15
27AAAAA6193A1Z31,2023-01,20
27AAAAA6193A1Z31,2023-02,22
27AAAAA6193A1Z31,2023-03,11
27AAAAA6193A1Z31,2023-04,37
27AAAAA6193A1Z31,2023-05,13
27AAAAA6193A1Z31,2023-06,25
27AAAAA5512A1Z32,2023-01,18
27AAAAA5512A1Z32,2023-02,29
27AAAAA5512A1Z32,2023-03,11
27AAAAA5512A1Z32,2023-04,26
27AAAAA5512A1Z32,2023-05,30
27AAAAA5512A1Z32,2023-06,36
27AAAAA1559A1Z33,2023-01,24
27AAAAA1559A1Z33,2023-02,23
27AAAAA1559A1Z33,2023-03,35
27AAAAA1559A1Z33,2023-04,23
27AAAAA1559A1Z33,2023-05,32
27AAAAA1559A1Z33,2023-06,29
27AAAAA5498A1Z34,2023-01,27
27AAAAA5498A1Z34,2023-02,37
27AAAAA5498A1Z34,2023-03,12
27AAAAA5498A1Z34,2023-04,40
27AAAAA5498A1Z34,2023-05,28
27AAAAA5498A1Z34,2023-06,33
27AAAAA8867A1Z35,2023-01,22
27AAAAA8867A1Z35,2023-02,32
27AAAAA8867A1Z35,2023-03,10
27AAAAA8867A1Z35,2023-04,15
27AAAAA8867A1Z35,2023-05,19
27AAAAA8867A1Z35,2023-06,21
27AAAAA4627A1Z36,2023-01,22
27AAAAA4627A1Z36,2023-02,21
27AAAAA4627A1Z36,2023-03,23
27AAAAA4627A1Z36,2023-04,10
27AAAAA4627A1Z36,2023-05,11
27AAAAA4627A1Z36,2023-06,40
27AAAAA9991A1Z37,2023-01,10
27AAAAA9991A1Z37,2023-02,31
27AAAAA9991A1Z37,2023-03,29
27AAAAA9991A1Z37,2023-04,19
27AAAAA9991A1Z37,2023-05,11
27AAAAA9991A1Z37,2023-06,19
27AAAAA5929A1Z38,2023-01,40
27AAAAA5929A1Z38,2023-02,35
27AAAAA5929A1Z38,2023-03,30
27AAAAA5929A1Z38,2023-04,36
27AAAAA5929A1Z38,2023-05,20
27AAAAA5929A1Z38,2023-06,15
27AAAAA4780A1Z39,2023-01,40
27AAAAA4780A1Z39,2023-02,13
27AAAAA4780A1Z39,2023-03,32
27AAAAA4780A1Z39,2023-04,17
27AAAAA4780A1Z39,2023-05,10
27AAAAA4780A1Z39,2023-06,28
27AAAAA1856A1Z40,2023-01,39
27AAAAA1856A1Z40,2023-02,14
27AAAAA1856A1Z40,2023-03,20
27AAAAA1856A1Z40,2023-04,15
27AAAAA1856A1Z40,2023-05,28
27AAAAA1856A1Z40,2023-06,28
27AAAAA5925A1Z41,2023-01,25
27AAAAA5925A1Z41,2023-02,12
27AAAAA5925A1Z41,2023-03,27
27AAAAA5925A1Z41,2023-04,17
27AAAAA5925A1Z41,2023-05,27
27AAAAA5925A1Z41,2023-06,21
27AAAAA3860A1Z42,2023-01,13
27AAAAA3860A1Z42,2023-02,23
27AAAAA3860A1Z42,2023-03,12
27AAAAA3860A1Z42,2023-04,15
27AAAAA3860A1Z42,2023-05,34
27AAAAA3860A1Z42,2023-06,37
27AAAAA6300A1Z43,2023-01,14
27AAAAA6300A1Z43,2023-02,32
27AAAAA6300A1Z43,2023-03,12
27AAAAA6300A1Z43,2023-04,26
27AAAAA6300A1Z43,2023-05,20
27AAAAA6300A1Z43,2023-06,33
27AAAAA6852A1Z44,2023-01,29
27AAAAA6852A1Z44,2023-02,25
27AAAAA6852A1Z44,2023-03,25
27AAAAA6852A1Z44,2023-04,25
27AAAAA6852A1Z44,2023-05,33
27AAAAA6852A1Z44,2023-06,35
27AAAAA3150A1Z45,2023-01,27
27AAAAA3150A1Z45,2023-02,22
27AAAAA3150A1Z45,2023-03,17
27AAAAA3150A1Z45,2023-04,19
27AAAAA3150A1Z45,2023-05,26
27AAAAA3150A1Z45,2023-06,15
27AAAAA7903A1Z46,2023-01,19
27AAAAA7903A1Z46,2023-02,24
27AAAAA7903A1Z46,2023-03,30
27AAAAA7903A1Z46,2023-04,10
27AAAAA7903A1Z46,2023-05,23
27AAAAA7903A1Z46,2023-06,17
27AAAAA8895A1Z47,2023-01,10
27AAAAA8895A1Z47,2023-02,37
27AAAAA8895A1Z47,2023-03,34
27AAAAA8895A1Z47,2023-04,33
27AAAAA8895A1Z47,2023-05,16
27AAAAA8895A1Z47,2023-06,38
27AAAAA5089A1Z48,2023-01,25
27AAAAA5089A1Z48,2023-02,35
27AAAAA5089A1Z48,2023-03,34
27AAAAA5089A1Z48,2023-04,26
27AAAAA5089A1Z48,2023-05,33
27AAAAA5089A1Z48,2023-06,33
27AAAAA3748A1Z49,2023-01,20
27AAAAA3748A1Z49,2023-02,37
27AAAAA3748A1Z49,2023-03,21
27AAAAA3748A1Z49,2023-04,35
27AAAAA3748A1Z49,2023-05,31
27AAAAA3748A1Z49,2023-06,20
27AAAAA6757A1Z50,2023-01,16
27AAAAA6757A1Z50,2023-02,22
27AAAAA6757A1Z50,2023-03,32
27AAAAA6757A1Z50,2023-04,11
27AAAAA6757A1Z50,2023-05,18
27AAAAA6757A1Z50,2023-06,23
27AAAAA3630A1Z51,2023-01,37
27AAAAA3630A1Z51,2023-02,30
27AAAAA3630A1Z51,2023-03,12
27AAAAA3630A1Z51,2023-04,31
27AAAAA3630A1Z51,2023-05,13
27AAAAA3630A1Z51,2023-06,17
27AAAAA4535A1Z52,2023-01,18
27AAAAA4535A1Z52,2023-02,22
27AAAAA4535A1Z52,2023-03,37
27AAAAA4535A1Z52,2023-04,18
27AAAAA4535A1Z52,2023-05,20
27AAAAA4535A1Z52,2023-06,20
27AAAAA8870A1Z53,2023-01,32
27AAAAA8870A1Z53,2023-02,17
27AAAAA8870A1Z53,2023-03,19
27AAAAA8870A1Z53,2023-04,28
27AAAAA8870A1Z53,2023-05,11
27AAAAA8870A1Z53,2023-06,27
27AAAAA1550A1Z54,2023-01,40
27AAAAA1550A1Z54,2023-02,31
27AAAAA1550A1Z54,2023-03,26
27AAAAA1550A1Z54,2023-04,33
27AAAAA1550A1Z54,2023-05,17
27AAAAA1550A1Z54,2023-06,22
27AAAAA8811A1Z55,2023-01,16
27AAAAA8811A1Z55,2023-02,13
27AAAAA8811A1Z55,2023-03,36
27AAAAA8811A1Z55,2023-04,40
27AAAAA8811A1Z55,2023-05,28
27AAAAA8811A1Z55,2023-06,28
27AAAAA6445A1Z56,2023-01,19
27AAAAA6445A1Z56,2023-02,28
27AAAAA6445A1Z56,2023-03,23
27AAAAA6445A1Z56,2023-04,27
27AAAAA6445A1Z56,2023-05,31
27AAAAA6445A1Z56,2023-06,35
27AAAAA4221A1Z57,2023-01,29
27AAAAA4221A1Z57,2023-02,15
27AAAAA4221A1Z57,2023-03,34
27AAAAA4221A1Z57,2023-04,30
27AAAAA4221A1Z57,2023-05,16
27AAAAA4221A1Z57,2023-06,16
27AAAAA5267A1Z58,2023-01,32
27AAAAA5267A1Z58,2023-02,31
27AAAAA5267A1Z58,2023-03,21
27AAAAA5267A1Z58,2023-04,15
27AAAAA5267A1Z58,2023-05,31
27AAAAA5267A1Z58,2023-06,28
27AAAAA5597A1Z59,2023-01,14
27AAAAA5597A1Z59,2023-02,29
27AAAAA5597A1Z59,2023-03,19
27AAAAA5597A1Z59,2023-04,39
27AAAAA5597A1Z59,2023-05,37
27AAAAA5597A1Z59,2023-06,10
27AAAAA6343A1Z60,2023-01,25
27AAAAA6343A1Z60,2023-02,15
27AAAAA6343A1Z60,2023-03,23
27AAAAA6343A1Z60,2023-04,38
27AAAAA6343A1Z60,2023-05,40
27AAAAA6343A1Z60,2023-06,18
27AAAAA5878A1Z61,2023-01,39
27AAAAA5878A1Z61,2023-02,20
27AAAAA5878A1Z61,2023-03,30
27AAAAA5878A1Z61,2023-04,39
27AAAAA5878A1Z61,2023-05,36
27AAAAA5878A1Z61,2023-06,36
27AAAAA7993A1Z62,2023-01,31
27AAAAA7993A1Z62,2023-02,32
27AAAAA7993A1Z62,2023-03,21
27AAAAA7993A1Z62,2023-04,23
27AAAAA7993A1Z62,2023-05,15
27AAAAA7993A1Z62,2023-06,15
27AAAAA4729A1Z63,2023-01,13
27AAAAA4729A1Z63,2023-02,18
27AAAAA4729A1Z63,2023-03,16
27AAAAA4729A1Z63,2023-04,14
27AAAAA4729A1Z63,2023-05,36
27AAAAA4729A1Z63,2023-06,28
27AAAAA6931A1Z64,2023-01,27
27AAAAA6931A1Z64,2023-02,40
27AAAAA6931A1Z64,2023-03,37
27AAAAA6931A1Z64,2023-04,14
27AAAAA6931A1Z64,2023-05,39
27AAAAA6931A1Z64,2023-06,16
27AAAAA4638A1Z65,2023-01,15
27AAAAA4638A1Z65,2023-02,39
27AAAAA4638A1Z65,2023-03,27
27AAAAA4638A1Z65,2023-04,12
27AAAAA4638A1Z65,2023-05,33
27AAAAA4638A1Z65,2023-06,17
27AAAAA5281A1Z66,2023-01,15
27AAAAA5281A1Z66,2023-02,30
27AAAAA5281A1Z66,2023-03,26
27AAAAA5281A1Z66,2023-04,34
27AAAAA5281A1Z66,2023-05,27
27AAAAA5281A1Z66,2023-06,16
27AAAAA8645A1Z67,2023-01,17
27AAAAA8645A1Z67,2023-02,37
27AAAAA8645A1Z67,2023-03,27
27AAAAA8645A1Z67,2023-04,38
27AAAAA8645A1Z67,2023-05,29
27AAAAA8645A1Z67,2023-06,16
27AAAAA9320A1Z68,2023-01,12
27AAAAA9320A1Z68,2023-02,19
27AAAAA9320A1Z68,2023-03,17
27AAAAA9320A1Z68,2023-04,22
27AAAAA9320A1Z68,2023-05,21
27AAAAA9320A1Z68,2023-06,18
27AAAAA6091A1Z69,2023-01,36
27AAAAA6091A1Z69,2023-02,27
27AAAAA6091A1Z69,2023-03,33
27AAAAA6091A1Z69,2023-04,31
27AAAAA6091A1Z69,2023-05,37
27AAAAA6091A1Z69,2023-06,17
27AAAAA3141A1Z70,2023-01,26
27AAAAA3141A1Z70,2023-02,36
27AAAAA3141A1Z70,2023-03,21
27AAAAA3141A1Z70,2023-04,15
27AAAAA3141A1Z70,2023-05,20
27AAAAA3141A1Z70,2023-06,25
27AAAAA9392A1Z71,2023-01,40
27AAAAA9392A1Z71,2023-02,33
27AAAAA9392A1Z71,2023-03,13
27AAAAA9392A1Z71,2023-04,31
27AAAAA9392A1Z71,2023-05,22
27AAAAA9392A1Z71,2023-06,21
27AAAAA5333A1Z72,2023-01,18
27AAAAA5333A1Z72,2023-02,18
27AAAAA5333A1Z72,2023-03,27
27AAAAA5333A1Z72,2023-04,27
27AAAAA5333A1Z72,2023-05,13
27AAAAA5333A1Z72,2023-06,17
27AAAAA9021A1Z73,2023-01,36
27AAAAA9021A1Z73,2023-02,10
27AAAAA9021A1Z73,2023-03,28
27AAAAA9021A1Z73,2023-04,25
27AAAAA9021A1Z73,2023-05,26
27AAAAA9021A1Z73,2023-06,23
27AAAAA6970A1Z74,2023-01,33
27AAAAA6970A1Z74,2023-02,31
27AAAAA6970A1Z74,2023-03,34
27AAAAA6970A1Z74,2023-04,33
27AAAAA6970A1Z74,2023-05,11
27AAAAA6970A1Z74,2023-06,26
27AAAAA9596A1Z75,2023-01,34
27AAAAA9596A1Z75,2023-02,23
27AAAAA9596A1Z75,2023-03,31
27AAAAA9596A1Z75,2023-04,34
27AAAAA9596A1Z75,2023-05,28
27AAAAA9596A1Z75,2023-06,40
27AAAAA9853A1Z76,2023-01,32
27AAAAA9853A1Z76,2023-02,10
27AAAAA9853A1Z76,2023-03,17
27AAAAA9853A1Z76,2023-04,18
27AAAAA9853A1Z76,2023-05,34
27AAAAA9853A1Z76,2023-06,27
27AAAAA3638A1Z77,2023-01,29
27AAAAA3638A1Z77,2023-02,18
27AAAAA3638A1Z77,2023-03,39
27AAAAA3638A1Z77,2023-04,24
27AAAAA3638A1Z77,2023-05,25
27AAAAA3638A1Z77,2023-06,38
27AAAAA9558A1Z78,2023-01,39
27AAAAA9558A1Z78,2023-02,25
27AAAAA9558A1Z78,2023-03,32
27AAAAA9558A1Z78,2023-04,18
27AAAAA9558A1Z78,2023-05,29
27AAAAA9558A1Z78,2023-06,33
27AAAAA6694A1Z79,2023-01,17
27AAAAA6694A1Z79,2023-02,14
27AAAAA6694A1Z79,2023-03,27
27AAAAA6694A1Z79,2023-04,38
27AAAAA6694A1Z79,2023-05,33
27AAAAA6694A1Z79,2023-06,27
27AAAAA8870A1Z80,2023-01,39
27AAAAA8870A1Z80,2023-02,29
27AAAAA8870A1Z80,2023-03,25
27AAAAA8870A1Z80,2023-04,37
27AAAAA8870A1Z80,2023-05,29
27AAAAA8870A1Z80,2023-06,30
27AAAAA5639A1Z81,2023-01,31
27AAAAA5639A1Z81,2023-02,14
27AAAAA5639A1Z81,2023-03,36
27AAAAA5639A1Z81,2023-04,38
27AAAAA5639A1Z81,2023-05,17
27AAAAA5639A1Z81,2023-06,29
27AAAAA9461A1Z82,2023-01,40
27AAAAA9461A1Z82,2023-02,18
27AAAAA9461A1Z82,2023-03,23
27AAAAA9461A1Z82,2023-04,24
27AAAAA9461A1Z82,2023-05,38
27AAAAA9461A1Z82,2023-06,28
27AAAAA9184A1Z83,2023-01,19
27AAAAA9184A1Z83,2023-02,39
27AAAAA9184A1Z83,2023-03,11
27AAAAA9184A1Z83,2023-04,35
27AAAAA9184A1Z83,2023-05,37
27AAAAA9184A1Z83,2023-06,17
27AAAAA4511A1Z84,2023-01,28
27AAAAA4511A1Z84,2023-02,23
27AAAAA4511A1Z84,2023-03,38
27AAAAA4511A1Z84,2023-04,13
27AAAAA4511A1Z84,2023-05,20
27AAAAA4511A1Z84,2023-06,22
27AAAAA1587A1Z85,2023-01,32
27AAAAA1587A1Z85,2023-02,33
27AAAAA1587A1Z85,2023-03,33
27AAAAA1587A1Z85,2023-04,11
27AAAAA1587A1Z85,2023-05,36
27AAAAA1587A1Z85,2023-06,29
27AAAAA9347A1Z86,2023-01,37
27AAAAA9347A1Z86,2023-02,36
27AAAAA9347A1Z86,2023-03,21
27AAAAA9347A1Z86,2023-04,25
27AAAAA9347A1Z86,2023-05,36
27AAAAA9347A1Z86,2023-06,18
27AAAAA9587A1Z87,2023-01,17
27AAAAA9587A1Z87,2023-02,20
27AAAAA9587A1Z87,2023-03,13
27AAAAA9587A1Z87,2023-04,22
27AAAAA9587A1Z87,2023-05,40
27AAAAA9587A1Z87,2023-06,29
27AAAAA8810A1Z88,2023-01,34
27AAAAA8810A1Z88,2023-02,31
27AAAAA8810A1Z88,2023-03,40
27AAAAA8810A1Z88,2023-04,34
27AAAAA8810A1Z88,2023-05,18
27AAAAA8810A1Z88,2023-06,34
27AAAAA8190A1Z89,2023-01,26
27AAAAA8190A1Z89,2023-02,15
27AAAAA8190A1Z89,2023-03,38
27AAAAA8190A1Z89,2023-04,31
27AAAAA8190A1Z89,2023-05,29
27AAAAA8190A1Z89,2023-06,19
27AAAAA6326A1Z90,2023-01,14
27AAAAA6326A1Z90,2023-02,16
27AAAAA6326A1Z90,2023-03,35
27AAAAA6326A1Z90,2023-04,36
27AAAAA6326A1Z90,2023-05,30
27AAAAA6326A1Z90,2023-06,23
27AAAAA6481A1Z91,2023-01,31
27AAAAA6481A1Z91,2023-02,17
27AAAAA6481A1Z91,2023-03,18
27AAAAA6481A1Z91,2023-04,12
27AAAAA6481A1Z91,2023-05,38
27AAAAA6481A1Z91,2023-06,12
27AAAAA3487A1Z92,2023-01,17
27AAAAA3487A1Z92,2023-02,36
27AAAAA3487A1Z92,2023-03,17
27AAAAA3487A1Z92,2023-04,30
27AAAAA3487A1Z92,2023-05,37
27AAAAA3487A1Z92,2023-06,21
27AAAAA3241A1Z93,2023-01,36
27AAAAA3241A1Z93,2023-02,38
27AAAAA3241A1Z93,2023-03,37
27AAAAA3241A1Z93,2023-04,33
27AAAAA3241A1Z93,2023-05,22
27AAAAA3241A1Z93,2023-06,20
27AAAAA1315A1Z94,2023-01,25
27AAAAA1315A1Z94,2023-02,40
27AAAAA1315A1Z94,2023-03,27
27AAAAA1315A1Z94,2023-04,22
27AAAAA1315A1Z94,2023-05,19
27AAAAA1315A1Z94,2023-06,26
27AAAAA8284A1Z95,2023-01,34
27AAAAA8284A1Z95,2023-02,16
27AAAAA8284A1Z95,2023-03,31
27AAAAA8284A1Z95,2023-04,30
27AAAAA8284A1Z95,2023-05,24
27AAAAA8284A1Z95,2023-06,23
27AAAAA1903A1Z96,2023-01,31
27AAAAA1903A1Z96,2023-02,29
27AAAAA1903A1Z96,2023-03,15
27AAAAA1903A1Z96,2023-04,29
27AAAAA1903A1Z96,2023-05,39
27AAAAA1903A1Z96,2023-06,34
27AAAAA7597A1Z97,2023-01,29
27AAAAA7597A1Z97,2023-02,40
27AAAAA7597A1Z97,2023-03,34
27AAAAA7597A1Z97,2023-04,20
27AAAAA7597A1Z97,2023-05,20
27AAAAA7597A1Z97,2023-06,31
27AAAAA7252A1Z98,2023-01,35
27AAAAA7252A1Z98,2023-02,27
27AAAAA7252A1Z98,2023-03,24
27AAAAA7252A1Z98,2023-04,29
27AAAAA7252A1Z98,2023-05,33
27AAAAA7252A1Z98,2023-06,22
27AAAAA1390A1Z99,2023-01,35
27AAAAA1390A1Z99,2023-02,18
27AAAAA1390A1Z99,2023-03,40
27AAAAA1390A1Z99,2023-04,12
27AAAAA1390A1Z99,2023-05,10
27AAAAA1390A1Z99,2023-06,32
27AAAAA4135A1Z100,2023-01,25
27AAAAA4135A1Z100,2023-02,21
27AAAAA4135A1Z100,2023-03,15
27AAAAA4135A1Z100,2023-04,38
27AAAAA4135A1Z100,2023-05,23
27AAAAA4135A1Z100,2023-06,27
27AAAAA3434A1Z101,2023-01,37
27AAAAA3434A1Z101,2023-02,40
27AAAAA3434A1Z101,2023-03,20
27AAAAA3434A1Z101,2023-04,35
27AAAAA3434A1Z101,2023-05,37
27AAAAA3434A1Z101,2023-06,14
27AAAAA3055A1Z102,2023-01,21
27AAAAA3055A1Z102,2023-02,28
27AAAAA3055A1Z102,2023-03,17
27AAAAA3055A1Z102,2023-04,20
27AAAAA3055A1Z102,2023-05,31
27AAAAA3055A1Z102,2023-06,10
27AAAAA4773A1Z103,2023-01,31
27AAAAA4773A1Z103,2023-02,11
27AAAAA4773A1Z103,2023-03,19
27AAAAA4773A1Z103,2023-04,40
27AAAAA4773A1Z103,2023-05,32
27AAAAA4773A1Z103,2023-06,40
27AAAAA4096A1Z104,2023-01,25
27AAAAA4096A1Z104,2023-02,40
27AAAAA4096A1Z104,2023-03,27
27AAAAA4096A1Z104,2023-04,15
27AAAAA4096A1Z104,2023-05,12
27AAAAA4096A1Z104,2023-06,20
27AAAAA3070A1Z105,2023-01,35
27AAAAA3070A1Z105,2023-02,38
27AAAAA3070A1Z105,2023-03,22
27AAAAA3070A1Z105,2023-04,34
27AAAAA3070A1Z105,2023-05,22
27AAAAA3070A1Z105,2023-06,32
27AAAAA4596A1Z106,2023-01,15
27AAAAA4596A1Z106,2023-02,19
27AAAAA4596A1Z106,2023-03,26
27AAAAA4596A1Z106,2023-04,21
27AAAAA4596A1Z106,2023-05,17
27AAAAA4596A1Z106,2023-06,26
27AAAAA7966A1Z107,2023-01,13
27AAAAA7966A1Z107,2023-02,26
27AAAAA7966A1Z107,2023-03,22
27AAAAA7966A1Z107,2023-04,32
27AAAAA7966A1Z107,2023-05,18
27AAAAA7966A1Z107,2023-06,33
27AAAAA4078A1Z108,2023-01,36
27AAAAA4078A1Z108,2023-02,26
27AAAAA4078A1Z108,2023-03,23
27AAAAA4078A1Z108,2023-04,13
27AAAAA4078A1Z108,2023-05,15
27AAAAA4078A1Z108,2023-06,11
27AAAAA1361A1Z109,2023-01,29
27AAAAA1361A1Z109,2023-02,30
27AAAAA1361A1Z109,2023-03,11
27AAAAA1361A1Z109,2023-04,31
27AAAAA1361A1Z109,2023-05,37
27AAAAA1361A1Z109,2023-06,38
27AAAAA3249A1Z110,2023-01,29
27AAAAA3249A1Z110,2023-02,23
27AAAAA3249A1Z110,2023-03,12
27AAAAA3249A1Z110,2023-04,14
27AAAAA3249A1Z110,2023-05,34
