Gstin,Gstr1_Liability,Gstr3b_Paid
27AAAAA6343A1Z60,405047.57,56131.25
27AAAAA5878A1Z61,313442.38,27900.65
27AAAAA7993A1Z62,238129.18999999997,13423.06
27AAAAA4729A1Z63,288764.32999999996,36808.89
27AAAAA6931A1Z64,427376.56000000006,84824.33
27AAAAA4638A1Z65,373993.45999999996,49887.93
27AAAAA5281A1Z66,511239.28,95594.02
27AAAAA8645A1Z67,73432.73,12277.78
27AAAAA9320A1Z68,609269.7900000002,99428.1
27AAAAA6091A1Z69,577216.55,39707.19
27AAAAA3141A1Z70,357010.43,18399.93
27AAAAA9392A1Z71,202828.80000000002,4980.12
27AAAAA5333A1Z72,416433.07,38570.78
27AAAAA9021A1Z73,469984.56000000006,67631.03
27AAAAA6970A1Z74,266830.55,23667.64
27AAAAA9596A1Z75,508800.19000000006,6754.33
27AAAAA9853A1Z76,427990.63,33880.38
27AAAAA3638A1Z77,438060.69,80875.59
27AAAAA9558A1Z78,255572.0,14139.95
27AAAAA6694A1Z79,703987.84,89947.33
27AAAAA8870A1Z80,274576.94000000006,33627.62
27AAAAA5639A1Z81,341662.18999999994,40534.64
27AAAAA9461A1Z82,366214.58,5729.42
27AAAAA9184A1Z83,131077.73,22653.85
27AAAAA4511A1Z84,247356.45,28249.32
27AAAAA1587A1Z85,223633.49,39508.07
27AAAAA9347A1Z86,546338.1599999999,107498.67
27AAAAA9587A1Z87,545611.74,10067.18
27AAAAA8810A1Z88,287046.6,39986.17
27AAAAA8190A1Z89,305472.22,24664.39
27AAAAA6326A1Z90,409685.87,5414.11
27AAAAA6481A1Z91,420224.83,5920.41
27AAAAA3487A1Z92,334211.51999999996,48006.74
27AAAAA3241A1Z93,348555.56000000006,34411.99
27AAAAA1315A1Z94,427336.71,7167.17
27AAAAA8284A1Z95,554609.5499999999,49633.23
27AAAAA1903A1Z96,77959.84,9558.94
27AAAAA7597A1Z97,300935.58999999997,32133.58
27AAAAA7252A1Z98,493600.8299999999,84712.83
27AAAAA1390A1Z99,295859.29,39825.22
27AAAAA4135A1Z100,382286.05,60266.87
27AAAAA3434A1Z101,261525.86,25039.85
27AAAAA3055A1Z102,363591.55,10827.26
27AAAAA4773A1Z103,199765.13999999998,32072.33
27AAAAA4096A1Z104,370694.87999999995,46849.31
27AAAAA3070A1Z105,158899.98,30779.73
27AAAAA4596A1Z106,116512.51999999999,9674.43
27AAAAA7966A1Z107,477561.63,35720.87
27AAAAA4078A1Z108,497602.23,86564.01
27AAAAA1361A1Z109,398797.59,12626.83
27AAAAA3249A1Z110,623768.96,28431.59
27AAAAA4449A1Z111,331873.76,20020.05
27AAAAA2855A1Z112,497919.29,24362.62
27AAAAA1997A1Z113,505943.83,49366.74
27AAAAA6749A1Z114,279934.0,29804.21
27AAAAA8579A1Z115,308257.81,58118.99
27AAAAA8584A1Z116,286768.92000000004,48866.11
27AAAAA7979A1Z117,472939.12000000005,42987.8
27AAAAA4213A1Z118,334307.74,12149.33
27AAAAA1558A1Z119,402323.74,13564.07
27AAAAA7883A1Z120,537220.55,37090.36
27AAAAA5713A1Z121,187834.04,6533.74
27AAAAA9685A1Z122,169230.59,6361.3
27AAAAA6273A1Z123,150433.56,20918.11
27AAAAA8541A1Z124,328138.43,37347.26
27AAAAA5530A1Z125,450262.82,25983.53
27AAAAA7062A1Z126,318928.74,61531.99
27AAAAA6444A1Z127,291189.29,44017.91
27AAAAA6796A1Z128,373629.1,29807.18
27AAAAA8060A1Z129,542790.62,81218.41
27AAAAA2817A1Z130,228641.65,21681.94
27AAAAA2431A1Z131,119873.32,7409.95
27AAAAA5211A1Z132,320220.80000000005,23384.67
27AAAAA8124A1Z133,525901.14,72418.9
27AAAAA7259A1Z134,280579.22,20346.86
27AAAAA3185A1Z135,386820.44,43405.35
27AAAAA2839A1Z136,438776.42,70808.07
27AAAAA3913A1Z137,62441.08,653.18
27AAAAA1341A1Z138,256455.93999999997,5696.83
27AAAAA6401A1Z139,407267.77,21432.56
27AAAAA4587A1Z140,134977.12,19337.4
27AAAAA2341A1Z141,278417.35,53590.13
27AAAAA7242A1Z142,370963.73,27741.05
27AAAAA6713A1Z143,312844.4,43276.44
27AAAAA9686A1Z144,328400.07,31870.17
27AAAAA3226A1Z145,489306.91000000003,6325.44
27AAAAA7652A1Z146,72185.16,4253.24
27AAAAA2211A1Z147,588510.3300000001,87756.94
27AAAAA8431A1Z148,325502.56000000006,11160.15
27AAAAA9256A1Z149,499705.07999999996,72735.73
27AAAAA8511A1Z150,223606.82,40668.38
27AAAAA7321A1Z151,355399.24,4101.95
27AAAAA9200A1Z152,510311.17999999993,22333.55
27AAAAA1567A1Z153,304785.06999999995,30168.12
27AAAAA1376A1Z154,416031.36,55244.28
27AAAAA4542A1Z155,349091.45999999996,51209.66
27AAAAA2120A1Z156,430504.0,81253.88
27AAAAA5907A1Z157,437602.92000000004,87055.23
27AAAAA8383A1Z158,329350.51,65493.52
27AAAAA3752A1Z159,117046.81999999999,8316.96
27AAAAA7215A1Z160,338964.4199999999,13298.37
27AAAAA3943A1Z161,655853.9900000001,46760.14
27AAAAA5330A1Z162,642460.9800000001,75307.8
27AAAAA5538A1Z163,321831.1400000001,40736.29
27AAAAA6162A1Z164,356281.84,57144.21
27AAAAA3205A1Z165,224336.72000000003,24317.27
27AAAAA3315A1Z166,305861.33999999997,50968.77
27AAAAA5933A1Z167,207679.94999999998,19082.72
27AAAAA9962A1Z168,287993.35,8426.55
27AAAAA9900A1Z169,186315.29,33835.25
27AAAAA8316A1Z170,160883.01,20703.46
27AAAAA3356A1Z171,480163.54,59201.66
27AAAAA8540A1Z172,301259.48,39174.37
27AAAAA3430A1Z173,429360.63,21017.74
27AAAAA1905A1Z174,404880.33999999997,27556.71
27AAAAA6082A1Z175,176942.81,19006.94
27AAAAA5546A1Z176,162603.96,28834.64
27AAAAA3767A1Z177,319258.13,23678.98
27AAAAA4310A1Z178,337841.52,36620.26
27AAAAA1913A1Z179,605311.43,86275.99
27AAAAA1863A1Z180,342146.70999999996,37343.74
27AAAAA7706A1Z181,387918.85000000003,24905.19
27AAAAA7807A1Z182,219066.53,40712.44
27AAAAA4189A1Z183,732130.07,32615.74
27AAAAA8189A1Z184,448603.50000000006,63727.65
27AAAAA3027A1Z185,275911.39,48187.97
27AAAAA6083A1Z186,552474.0599999999,28547.82
27AAAAA3290A1Z187,469327.13000000006,28814.36
27AAAAA6679A1Z188,320605.92,61774.95
27AAAAA2716A1Z189,547021.8099999998,34836.87
27AAAAA3307A1Z190,429386.30000000005,32678.64
27AAAAA4118A1Z191,345402.77,6380.61
27AAAAA2337A1Z192,586487.11,59729.83
27AAAAA7979A1Z193,424078.1,16018.04
27AAAAA7594A1Z194,593497.86,100880.59
27AAAAA1231A1Z195,333930.83,47738.46
27AAAAA3397A1Z196,442318.45000000007,46494.12
27AAAAA9467A1Z197,600356.8700000001,77301.75
27AAAAA5225A1Z198,572900.11,60630.31
27AAAAA6628A1Z199,601722.3200000001,12925.52
27AAAAA5691A1Z200,432066.98,16714.06
27AAAAA5194A1Z201,266200.68,16034.52
27AAAAA5522A1Z202,202321.01,14796.87
27AAAAA8371A1Z203,275554.01,31338.55
27AAAAA4080A1Z204,255110.97,30516.99
27AAAAA5825A1Z205,498372.4,83788.65
27AAAAA9844A1Z206,291968.9,45309.48
27AAAAA8619A1Z207,369277.24,62200.57
27AAAAA7339A1Z208,325842.14999999997,48845.18
27AAAAA2353A1Z209,422153.75000000006,54470.65
27AAAAA1681A1Z210,287898.89999999997,5540.77
27AAAAA5120A1Z211,260630.31000000003,16032.91
27AAAAA3837A1Z212,535318.4099999999,34564.39
27AAAAA5066A1Z213,355421.12,65387.55
27AAAAA9627A1Z214,325740.95999999996,54271.47
27AAAAA2217A1Z215,302746.27999999997,10972.17
27AAAAA7635A1Z216,249899.93000000005,29851.05
27AAAAA3498A1Z217,398195.02,36431.78
27AAAAA7468A1Z218,142830.63999999998,15810.52
27AAAAA3454A1Z219,289806.07999999996,36506.24
27AAAAA8606A1Z220,277430.05,44735.48
27AAAAA4768A1Z221,384242.07,12096.78
27AAAAA3784A1Z222,484523.01,93716.52
27AAAAA2822A1Z223,551218.81,63709.05
27AAAAA1331A1Z224,518649.2799999999,83946.28
27AAAAA2443A1Z225,623554.3,40648.58
27AAAAA2252A1Z226,509905.61000000004,60174.63
27AAAAA6452A1Z227,249861.55000000002,10720.79
27AAAAA1035A1Z228,561837.75,49131.96
27AAAAA8131A1Z229,491736.35,32734.91
27AAAAA8477A1Z230,239843.83,8541.67
27AAAAA6581A1Z231,423688.70999999996,82936.87
27AAAAA8898A1Z232,388359.07,42098.69
27AAAAA1942A1Z233,253960.33999999997,7527.3
27AAAAA1594A1Z234,305181.99,3319.86
27AAAAA6597A1Z235,542640.5700000001,108204.04
27AAAAA5079A1Z236,765208.63,39273.87
27AAAAA7097A1Z237,388851.25,77195.1
27AAAAA8812A1Z238,227380.69999999998,6304.53
27AAAAA2781A1Z239,479278.64999999997,90378.02
27AAAAA3829A1Z240,508221.68,46035.08
27AAAAA7531A1Z241,325017.19,37546.16
27AAAAA9377A1Z242,349523.18,34286.53
27AAAAA2617A1Z243,301998.39,52872.79
27AAAAA1462A1Z244,267560.97,37516.08
27AAAAA1512A1Z245,388296.77999999997,66449.68
27AAAAA3189A1Z246,212104.31,9355.68
27AAAAA9304A1Z247,454099.89999999997,61375.97
27AAAAA2220A1Z248,403216.2,72823.58
27AAAAA3128A1Z249,311559.24000000005,38658.25
27AAAAA5241A1Z250,175397.16,2073.57
27AAAAA3092A1Z251,359814.1,6895.84
27AAAAA7338A1Z252,434714.7,53319.75
27AAAAA2308A1Z253,682324.6900000002,94852.55
27AAAAA1652A1Z254,370422.65,30100.19
27AAAAA6199A1Z255,69778.19,2460.21
27AAAAA8478A1Z256,361781.3400000001,71155.02
27AAAAA7346A1Z257,272916.17,35221.99
27AAAAA8083A1Z258,520351.78,17301.93
27AAAAA5228A1Z259,276162.05,11033.48
27AAAAA7399A1Z260,198513.43,5798.09
27AAAAA1036A1Z261,295816.04,50078.93
27AAAAA4307A1Z262,545579.21,70951.1
27AAAAA6070A1Z263,313635.78,9765.2
27AAAAA6467A1Z264,403925.44,69045.3
27AAAAA9672A1Z265,247381.11,10417.52
27AAAAA2408A1Z266,318076.09,36397.51
27AAAAA5545A1Z267,450046.42000000004,72173.28
27AAAAA3710A1Z268,233079.43,9334.63
27AAAAA2507A1Z269,622959.2100000002,73456.18
27AAAAA7627A1Z270,253226.72999999998,29436.35
27AAAAA3102A1Z271,372755.02,23119.06
27AAAAA5800A1Z272,339954.36,57154.17
27AAAAA3196A1Z273,370133.69,7897.32
27AAAAA5035A1Z274,285709.45999999996,35792.57
27AAAAA7468A1Z275,356195.12000000005,41496.74
27AAAAA9468A1Z276,244093.55,12248.55
27AAAAA1910A1Z277,302816.69000000006,39203.19
27AAAAA6289A1Z278,445853.0,86792.6
27AAAAA8802A1Z279,333672.21,55248.41
27AAAAA2602A1Z280,294793.31999999995,8525.51
27AAAAA8413A1Z281,362884.80000000005,56188.05
27AAAAA4042A1Z282,536452.21,8209.49
27AAAAA3500A1Z283,125705.73,3029.18
27AAAAA1976A1Z284,599957.91,31996.73
27AAAAA5083A1Z285,234640.68000000002,16897.73
27AAAAA8315A1Z286,579342.12,37510.58
27AAAAA5263A1Z287,343458.83,39758.07
27AAAAA8948A1Z288,432213.38000000006,10017.58
27AAAAA2736A1Z289,196770.81999999998,19136.81
27AAAAA1537A1Z290,344240.5800000001,32851.86
27AAAAA6092A1Z291,252586.95,2894.25
27AAAAA5604A1Z292,504459.92000000004,35927.48
27AAAAA7984A1Z293,367703.39999999997,73426.74
27AAAAA5770A1Z294,170085.74,11656.54
27AAAAA6741A1Z295,461476.97,6451.21
27AAAAA3693A1Z296,437890.12,37132.59
27AAAAA9462A1Z297,414070.51999999996,46758.72
27AAAAA9920A1Z298,339260.78,57699.26
27AAAAA2441A1Z299,311964.79000000004,20431.65
07BBBBB5781B1Z0,268074.88,25469.19
07BBBBB9052B1Z1,174489.43,15582.62
07BBBBB1714B1Z2,121603.8,21272.14
07BBBBB2745B1Z3,0.0,0.0
07BBBBB3655B1Z4,167861.92,15503.63
07BBBBB6698B1Z5,150560.3,22721.83
07BBBBB7489B1Z6,268970.37000000005,27045.47
07BBBBB9539B1Z7,251879.63,21262.64
07BBBBB5614B1Z8,0.0,0.0
07BBBBB1613B1Z9,249237.24,5164.34
07BBBBB6140B1Z10,214032.0,6147.6
07BBBBB9639B1Z11,403964.57000000007,11764.13
07BBBBB7426B1Z12,384796.4600000001,16495.72
07BBBBB7903B1Z13,154854.99,26434.29
07BBBBB7998B1Z14,23486.38,3226.74
07BBBBB1928B1Z15,76947.71,13089.51
07BBBBB6440B1Z16,134190.79,22915.98
07BBBBB8076B1Z17,210215.13999999998,15540.12
07BBBBB2026B1Z18,224375.51,15532.59
07BBBBB8723B1Z19,158980.12,9353.9
07BBBBB9925B1Z20,148970.83000000002,2896.97
07BBBBB3508B1Z21,173850.37,4317.85
07BBBBB6621B1Z22,182789.32,14748.11
07BBBBB4212B1Z23,0.0,0.0
07BBBBB6370B1Z24,154548.7,1778.57
07BBBBB5454B1Z25,155663.03,5616.77
07BBBBB7724B1Z26,212582.20999999996,18582.34
07BBBBB2478B1Z27,76118.87,4246.61
07BBBBB6394B1Z28,93101.12,9017.87
07BBBBB2041B1Z29,89286.53,9563.64
07BBBBB9997B1Z30,68668.34,13200.76
07BBBBB8616B1Z31,85117.47,1649.28
07BBBBB9470B1Z32,234127.89,17211.12
07BBBBB6804B1Z33,196826.52,36031.4
07BBBBB7126B1Z34,55772.51,3467.54
07BBBBB7001B1Z35,134173.07,25480.39
07BBBBB1986B1Z36,310686.57999999996,50462.02
07BBBBB9602B1Z37,47061.0,9301.06
07BBBBB8028B1Z38,238685.34,25481.5
07BBBBB5882B1Z39,135141.31999999998,19667.19
07BBBBB6347B1Z40,32212.74,4850.99
07BBBBB3169B1Z41,107212.29,9112.95
07BBBBB4538B1Z42,81453.34,12076.35
07BBBBB2405B1Z43,255484.42000000004,14462.11
07BBBBB8411B1Z44,90369.48,1714.98
07BBBBB5776B1Z45,86683.82,4218.06
07BBBBB2306B1Z46,0.0,0.0
07BBBBB6207B1Z47,62515.119999999995,9564.7
07BBBBB2286B1Z48,128349.65999999999,17792.98
07BBBBB4526B1Z49,260562.24,8175.28
07BBBBB2452B1Z50,111438.98999999999,3943.63
07BBBBB6263B1Z51,131054.01000000001,12647.78
07BBBBB5752B1Z52,87369.44,16894.72
07BBBBB9645B1Z53,277659.31,32546.57
07BBBBB5830B1Z54,128573.18999999999,14105.84
07BBBBB1287B1Z55,311736.82,8892.49
07BBBBB6347B1Z56,194864.19999999998,22328.83
07BBBBB9003B1Z57,143580.23,23079.77
07BBBBB6769B1Z58,174012.96000000002,28292.06
07BBBBB5201B1Z59,122548.09,12488.62
07BBBBB5743B1Z60,29261.68,921.76
07BBBBB1992B1Z61,151922.87,28383.09
07BBBBB7702B1Z62,101620.28,7209.5
07BBBBB3114B1Z63,133288.2,1865.3
07BBBBB4153B1Z64,16085.22,1629.21
07BBBBB3499B1Z65,231766.83,7680.1
07BBBBB4090B1Z66,242455.22999999998,20345.54
07BBBBB8040B1Z67,218371.90999999997,26499.85
07BBBBB8801B1Z68,78718.36,10464.79
07BBBBB2647B1Z69,156489.68,7432.48
07BBBBB9848B1Z70,297868.81,59155.16
07BBBBB6074B1Z71,215611.16,10094.29
07BBBBB3104B1Z72,63317.35,1611.34
07BBBBB5554B1Z73,26526.57,3931.7
07BBBBB4410B1Z74,91358.01,9761.57
07BBBBB6850B1Z75,86598.91,2771.27
07BBBBB7380B1Z76,55470.24,3808.86
07BBBBB2519B1Z77,64388.619999999995,4568.65
07BBBBB4060B1Z78,147791.66,29454.19
07BBBBB6409B1Z79,269857.37,31800.19
07BBBBB5278B1Z80,173517.36000000002,18700.42
07BBBBB8182B1Z81,123574.29999999999,19946.51
07BBBBB4868B1Z82,269850.82,26807.49
07BBBBB3075B1Z83,41137.17,1403.84
07BBBBB6316B1Z84,49764.37,5264.85
07BBBBB2266B1Z85,13883.94,553.46
07BBBBB2379B1Z86,22657.64,675.81
07BBBBB4908B1Z87,50167.57,5194.52
07BBBBB2579B1Z88,189115.4,22783.16
07BBBBB1746B1Z89,65462.41,11522.7
07BBBBB6666B1Z90,121532.24,12817.75
07BBBBB9388B1Z91,374510.23000000004,54629.61
07BBBBB4504B1Z92,214010.15000000002,38880.06
07BBBBB3552B1Z93,0.0,0.0
07BBBBB6023B1Z94,134997.43,1352.8
07BBBBB4208B1Z95,81133.15,14013.53
07BBBBB7770B1Z96,95855.91,3660.15
07BBBBB5161B1Z97,168281.22999999998,4010.79
07BBBBB4232B1Z98,156923.87,24981.75
07BBBBB8528B1Z99,421660.26999999996,32004.23
07BBBBB6069B1Z100,207572.36000000002,35594.6
07BBBBB5244B1Z101,157023.65,24291.91
07BBBBB1799B1Z102,223506.65000000002,28416.22
07BBBBB2076B1Z103,210475.78999999998,15165.38
07BBBBB6252B1Z104,175422.97999999998,27972.42
07BBBBB6701B1Z105,20540.17,3102.92
07BBBBB7489B1Z106,45980.8,3873.11
07BBBBB4149B1Z107,170712.91,19962.71
07BBBBB1903B1Z108,202443.87,10323.21
07BBBBB4058B1Z109,250402.43000000002,47069.94
07BBBBB7166B1Z110,88208.37,5254.12
07BBBBB1498B1Z111,265716.32999999996,39794.44
07BBBBB4624B1Z112,248561.25,10079.56
07BBBBB7867B1Z113,125982.77,17978.52
07BBBBB6647B1Z114,108150.23000000001,10054.95
07BBBBB3598B1Z115,112660.92,8052.66
07BBBBB6373B1Z116,44560.68,2411.34
07BBBBB3221B1Z117,72371.48,3400.62
07BBBBB1786B1Z118,300162.38,50984.61
07BBBBB7773B1Z119,28919.09,3610.03
07BBBBB1439B1Z120,164181.98,32688.02
07BBBBB5363B1Z121,233071.68,20105.12
07BBBBB3894B1Z122,51959.51,3535.64
07BBBBB2422B1Z123,385991.11,31751.46
07BBBBB7555B1Z124,219207.49,28645.03
07BBBBB3144B1Z125,88588.65,1194.25
07BBBBB3717B1Z126,60720.58,5835.12
07BBBBB3260B1Z127,110054.63,9860.82
07BBBBB6434B1Z128,0.0,0.0
07BBBBB8904B1Z129,222559.6,35710.88
07BBBBB6509B1Z130,141591.05,9353.66
07BBBBB5368B1Z131,37707.6,3755.82
07BBBBB3850B1Z132,63277.57000000001,3182.49
07BBBBB8879B1Z133,143088.16999999998,9264.05
07BBBBB9068B1Z134,214419.88999999998,23046.11
07BBBBB3283B1Z135,137385.18,21044.19
07BBBBB4188B1Z136,71846.83,13798.5
07BBBBB5227B1Z137,42778.45,1660.89
07BBBBB1737B1Z138,182964.71,18765.44
07BBBBB1842B1Z139,237742.13,18504.7
07BBBBB7629B1Z140,235762.65999999997,40559.42
07BBBBB5554B1Z141,70072.23,2770.17
07BBBBB4393B1Z142,106901.29999999999,11787.33
07BBBBB4396B1Z143,153556.90000000002,3665.94
07BBBBB3816B1Z144,179056.97999999998,26428.68
07BBBBB5942B1Z145,26975.04,2616.34
07BBBBB7210B1Z146,85086.82,15930.53
07BBBBB1299B1Z147,339494.33999999997,4837.86
07BBBBB4773B1Z148,148355.51,11905.72
07BBBBB6062B1Z149,276163.17,32082.19
07BBBBB9349B1Z150,143592.76,1459.81
07BBBBB2309B1Z151,82759.57,9477.29
07BBBBB2635B1Z152,157495.93,26703.21
07BBBBB9555B1Z153,238880.21999999997,24327.24
07BBBBB6168B1Z154,88838.78,12076.49
07BBBBB2705B1Z155,159609.31,19194.98
07BBBBB2080B1Z156,50721.51,9417.56
07BBBBB1161B1Z157,454994.88000000006,68064.48
07BBBBB8185B1Z158,351731.21,47865.25
07BBBBB7864B1Z159,100732.58,18643.15
07BBBBB6618B1Z160,58504.74,8330.88
07BBBBB1510B1Z161,142876.77000000002,7068.93
07BBBBB7317B1Z162,159588.55,15619.97
07BBBBB8508B1Z163,64611.05,12720.6
07BBBBB5879B1Z164,139003.53,8770.65
07BBBBB7506B1Z165,73755.94,12467.47
07BBBBB4825B1Z166,103452.47,12230.0
07BBBBB5035B1Z167,239332.51,28779.28
07BBBBB5659B1Z168,83197.36,8696.3
07BBBBB8324B1Z169,156129.61,27298.62
07BBBBB5309B1Z170,194042.29,3898.17
07BBBBB4655B1Z171,125882.78,17397.02
07BBBBB5227B1Z172,101821.07,13847.47
07BBBBB8045B1Z173,73233.57,2700.69
07BBBBB6098B1Z174,168883.28,28493.28
07BBBBB8468B1Z175,79583.18,13751.68
07BBBBB7758B1Z176,33973.899999999994,2094.93
07BBBBB9419B1Z177,46504.72,2550.05
07BBBBB3332B1Z178,97513.33,18688.1
07BBBBB6594B1Z179,146459.44,28405.42
07BBBBB6470B1Z180,231631.86,36294.1
07BBBBB2732B1Z181,35326.55,4994.13
07BBBBB4391B1Z182,202947.32,12042.94
07BBBBB3034B1Z183,34106.55,6222.69
07BBBBB9977B1Z184,60011.46,3137.83
07BBBBB5798B1Z185,99649.31,10703.95
07BBBBB9096B1Z186,83577.34,10608.43
07BBBBB3466B1Z187,125131.36,15189.11
07BBBBB4265B1Z188,207246.59000000003,8328.17
07BBBBB2465B1Z189,180082.09,4324.54
07BBBBB7144B1Z190,136908.19,18335.78
07BBBBB6651B1Z191,69235.76,3033.93
07BBBBB4657B1Z192,184149.1,11950.68
07BBBBB8784B1Z193,72775.72,4016.76
07BBBBB7949B1Z194,50422.47,7220.62
07BBBBB5790B1Z195,178088.38,19594.49
07BBBBB3240B1Z196,169320.57,11463.15
07BBBBB3646B1Z197,180542.61,32599.43
07BBBBB1734B1Z198,72698.45,11637.19
07BBBBB3812B1Z199,323271.37,55873.69
07BBBBB5362B1Z200,229996.64999999997,31922.27
07BBBBB5500B1Z201,53913.0,1786.56
07BBBBB1720B1Z202,0.0,0.0
07BBBBB2169B1Z203,97022.95,13003.54
07BBBBB9720B1Z204,68266.6,7672.55
07BBBBB3059B1Z205,157824.38,23482.84
07BBBBB8234B1Z206,354203.72,39738.19
07BBBBB7821B1Z207,171177.84000000003,16284.98
07BBBBB3900B1Z208,40355.05,1379.56
07BBBBB6879B1Z209,145835.34,8598.06
07BBBBB6279B1Z210,173333.93,9848.83
07BBBBB4256B1Z211,183222.06,25376.74
07BBBBB4090B1Z212,161150.81,16245.47
07BBBBB1628B1Z213,157806.06,30485.75
07BBBBB9690B1Z214,221805.89,27030.1
07BBBBB7503B1Z215,126993.51999999999,15839.45
07BBBBB7054B1Z216,318360.61,31297.84
07BBBBB2036B1Z217,287115.25,25755.47
07BBBBB5287B1Z218,146132.67,19657.37
07BBBBB6542B1Z219,35598.07,2026.63
07BBBBB5892B1Z220,236353.67,41357.16
07BBBBB3340B1Z221,0.0,0.0
07BBBBB4324B1Z222,152585.57,19680.31
07BBBBB5365B1Z223,244354.53000000003,28263.58
07BBBBB6881B1Z224,29963.35,4553.12
07BBBBB2529B1Z225,57506.35,2646.36
07BBBBB1466B1Z226,0.0,0.0
07BBBBB3095B1Z227,49229.76,893.79
07BBBBB9701B1Z228,203590.61,26929.5
07BBBBB4826B1Z229,242908.08,7637.9
07BBBBB5865B1Z230,169926.88,23238.3
07BBBBB6840B1Z231,250539.34000000003,33610.59
07BBBBB7014B1Z232,32816.35,5929.22
07BBBBB6646B1Z233,133489.08000000002,26530.76
07BBBBB5385B1Z234,133758.28,7832.41
07BBBBB2259B1Z235,148463.17,12429.19
07BBBBB2980B1Z236,57736.12,7600.71
07BBBBB8570B1Z237,162461.18,2587.3
07BBBBB8991B1Z238,332585.89,21337.01
07BBBBB5838B1Z239,67582.25,7093.4
07BBBBB3076B1Z240,131639.59,23304.24
07BBBBB7063B1Z241,232558.59999999998,12349.05
07BBBBB9317B1Z242,0.0,0.0
07BBBBB7979B1Z243,222915.16,28064.5
07BBBBB7305B1Z244,133977.91,4582.84
07BBBBB5128B1Z245,73069.19,6089.89
07BBBBB2829B1Z246,34043.28,6306.38
07BBBBB1727B1Z247,125256.48,23320.78
07BBBBB1145B1Z248,234839.91000000003,36419.48
07BBBBB9094B1Z249,173780.41,28450.32
07BBBBB2526B1Z250,32817.4,927.11
07BBBBB9658B1Z251,307624.15,33132.66
07BBBBB3189B1Z252,137191.6,25099.58
07BBBBB9438B1Z253,54030.82,7475.06
07BBBBB4916B1Z254,116779.82,5731.15
07BBBBB1722B1Z255,69287.1,3001.16
07BBBBB8056B1Z256,0.0,0.0
07BBBBB4823B1Z257,324444.28,45998.04
07BBBBB1792B1Z258,411321.48000000004,41631.97
07BBBBB4692B1Z259,11553.59,2228.87
07BBBBB2083B1Z260,99357.28,12021.18
07BBBBB4325B1Z261,129254.27,12191.85
